house_id,device_id,gas_meter_id,lat,long,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
b1eb5eb2,83771758,,42.191697,-72.613522,1404,3207
b1eb5eb2,69525019,,42.191697,-72.613522,0,0
a90ea0b3,5827516,54363558.0,42.21116655,-72.62154328,1488,1180
049bf03c,83770216,54459969.0,42.211157,-72.62131747,1504,1163
b2dc9fbe,56976532,,42.21082845,-72.62124205,1383,846
569aaf4b,56506585,40488619.0,42.2107266,-72.62108046,1337,440
ac2f7c77,31043110,33466477.0,42.21090435,-72.62139079,1359,0
c9a15592,52060672,,42.26280968,-72.60767844,1205,0
0d210476,52062224,,42.2624857,-72.60735976,1414,617
ae254799,31801278,,42.26287875,-72.60762854,1205,0
1ad80ffe,57533276,,42.2627582,-72.60768639,1205,0
d483f739,57553405,,42.26182675,-72.60819015,1372,1674
62c7b6ac,52061647,,42.26265865,-72.60727031,1186,1903
7407e44b,30129068,90974199.0,42.20194793,-72.679358,1156,0
ef79a7f1,52300841,,42.2018803,-72.67918597,1156,0
5fa80aab,52300843,,42.20125832,-72.67944837,1130,0
8c46fac9,30129076,97064129.0,42.2003935,-72.67977254,0,0
5edb8c2b,52300847,94746136.0,42.2023386,-72.67913248,1313,634
96461bc5,52300884,,42.2015504,-72.67925487,1058,0
426c5f0b,11797342,,42.20173107,-72.60432692,1391,4827
426c5f0b,83779493,,42.20173107,-72.60432692,0,0
0a4bda96,83779538,56809534.0,42.2064547,-72.59922622,1314,1709
efd90c76,31801956,49747597.0,42.20577305,-72.62680691,1279,0
399ac66c,31800850,90953546.0,42.19328524,-72.62832165,1450,1550
1698aa12,57531728,,42.1834565,-72.646087,1150,0
7edb5808,57531713,,42.183212,-72.646664,1362,881
81e0bb5d,338379489,,42.1833868,-72.64640405,1466,828
4dc1f17c,29339924,,42.19740316,-72.63672204,1436,1092
72be14aa,31042918,35567485.0,42.197369,-72.63657,1436,1092
7a94fe5b,31042919,51930409.0,42.1976286,-72.6371567,1315,1057
17013f80,83779354,91563605.0,42.19493095,-72.62502683,1363,1656
